序号,企业名称,省份,行业,营收(万元)
415,宁波元稹国际物流有限公司,浙江省,批发业,1833476
416,西子联合控股有限公司,浙江省,专用设备制造业,1832934
417,新阳科技集团有限公司,江苏省,化学原料和化学制品制造业,1830971
418,河南金利金铅集团有限公司,河南省,有色金属冶炼和压延加工业,1826428
419,万事利集团有限公司,浙江省,纺织服装、服饰业,1824193
420,金花投资控股集团有限公司,陕西省,零售业,1822264
421,重庆东银控股集团有限公司,重庆市,房地产业,1821297
422,江苏文峰集团有限公司,江苏省,零售业,1820000
423,新星宇建设集团有限公司,吉林省,房屋建筑业,1818205
424,浙江方远控股集团有限公司,浙江省,房屋建筑业,1816977
425,兴达投资集团有限公司,江苏省,化学原料和化学制品制造业,1810714
426,大亚科技集团有限公司,江苏省,木材加工和木、竹、藤、棕、草制品业,1804526
427,江西济民可信集团有限公司,江西省,医药制造业,1802478
428,中亿丰建设集团股份有限公司,江苏省,房屋建筑业,1802151
429,维科控股集团股份有限公司,浙江省,批发业,1801934
430,河北安丰钢铁有限公司,河北省,黑色金属冶炼和压延加工业,1800795
431,宁夏宝丰集团有限公司,宁夏回族自治区,煤炭开采和洗选业,1790387
432,天津华北集团有限公司,天津市,有色金属冶炼和压延加工业,1784642
433,远景能源（江苏）有限公司,江苏省,其他制造业,1781438
434,南通五建控股集团有限公司,江苏省,房屋建筑业,1780831
435,四川省乐山市福华农科投资集团有限责任公司,四川省,化学原料和化学制品制造业,1779936
436,农夫山泉股份有限公司,浙江省,酒、饮料和精制茶制造业,1779067
437,大全集团有限公司,江苏省,电气机械和器材制造业,1778846
438,大连金玛商城企业集团有限公司,辽宁省,商务服务业,1775527
439,济源市万洋冶炼（集团）有限公司,河南省,有色金属冶炼和压延加工业,1773811
440,山东齐鲁制药集团有限公司,山东省,医药制造业,1773008
441,河北冠丰冶金工业有限公司,河北省,黑色金属冶炼和压延加工业,1766614
442,山东金升有色集团有限公司,山东省,有色金属冶炼和压延加工业,1750786
443,山鹰国际控股股份公司,安徽省,造纸和纸制品业,1746968
444,海天建设集团有限公司,浙江省,房屋建筑业,1733230
445,欣旺达电子股份有限公司,广东省,电气机械和器材制造业,1731624
446,河南济源钢铁（集团）有限公司,河南省,黑色金属冶炼和压延加工业,1730559
447,开元旅业集团有限公司,浙江省,综合,1721092
448,华孚控股有限公司,广东省,纺织业,1718117
449,浙江兴日钢控股集团有限公司,浙江省,黑色金属冶炼和压延加工业,1714260
450,广州美涂士投资控股有限公司,广东省,综合,1712646
451,江苏国强镀锌实业有限公司,江苏省,金属制品业,1712116
452,上海胜华电缆（集团）有限公司,上海市,电气机械和器材制造业,1710253
453,青岛世纪瑞丰集团有限公司,山东省,批发业,1708741
454,河南威佳汽车贸易集团有限公司,河南省,零售业,1704887
455,山西通才工贸有限公司,山西省,黑色金属冶炼和压延加工业,1701485
456,群升集团有限公司,浙江省,综合,1697276
457,广州元亨能源有限公司,广东省,批发业,1689019
458,临清三和纺织集团有限公司,山东省,纺织业,1688515
459,杭州东恒石油有限公司,浙江省,批发业,1682542
460,天颂建设集团有限公司,浙江省,房屋建筑业,1675834
461,程力汽车集团股份有限公司,湖北省,汽车制造业,1675398
462,内蒙古汇能煤电集团有限公司,"内蒙古
自治区",煤炭开采和洗选业,1673794
463,安踏体育用品集团有限公司,福建省,皮革、毛皮、羽毛及其制品和制鞋业,1669249
464,华盛江泉集团有限公司,山东省,黑色金属冶炼和压延加工业,1668917
465,山东海王银河医药有限公司,山东省,批发业,1662467
466,山西立恒钢铁集团股份有限公司,山西省,黑色金属冶炼和压延加工业,1660958
467,泰地控股集团有限公司,浙江省,综合,1659134
468,浙江建华集团有限公司,浙江省,批发业,1655357
469,大自然钢业集团有限公司,浙江省,黑色金属冶炼和压延加工业,1646177
470,亚厦控股有限公司,浙江省,建筑装饰和其他建筑业,1645961
471,无锡市不锈钢电子交易中心有限公司,江苏省,零售业,1642583
472,金猴集团有限公司,山东省,皮革、毛皮、羽毛及其制品和制鞋业,1640214
473,隆基绿能科技股份有限公司,陕西省,其他制造业,1636228
474,日照兴业集团有限公司,山东省,综合,1633879
475,广东电白建设集团有限公司,广东省,房屋建筑业,1622617
476,江苏爱康实业集团有限公司,江苏省,电气机械和器材制造业,1618952
477,华太建设集团有限公司,浙江省,房屋建筑业,1615868
478,深圳市大疆创新科技有限公司,广东省,铁路、船舶、航空航天和其他运输设备制造业,1610613
479,福建圣农控股集团有限公司,福建省,畜牧业,1604064
480,人本集团有限公司,浙江省,通用设备制造业,1604002
481,浙江协和集团有限公司,浙江省,黑色金属冶炼和压延加工业,1600725
482,江苏中超投资集团有限公司,江苏省,其他制造业,1599629
483,珠海市魅族科技有限公司,广东省,计算机、通信和其他电子设备制造业,1597645
484,浙江富春江通信集团有限公司,浙江省,计算机、通信和其他电子设备制造业,1594316
485,广东领益智造股份有限公司,广东省,计算机、通信和其他电子设备制造业,1592517
486,苏州胜利精密制造科技股份有限公司,江苏省,计算机、通信和其他电子设备制造业,1591311
487,骆驼集团股份有限公司,湖北省,电气机械和器材制造业,1588906
488,江苏江润铜业有限公司,江苏省,有色金属冶炼和压延加工业,1586377
489,山东联盟化工集团有限公司,山东省,化学原料和化学制品制造业,1582660
490,胜达集团有限公司,浙江省,造纸和纸制品业,1580468
491,广东恒兴集团有限公司,广东省,农副食品加工业,1580226
492,广博集团,浙江省,文教、工美、体育和娱乐用品制造业,1577296
493,宝业湖北建工集团有限公司,湖北省,房屋建筑业,1574717
494,浙江国泰建设集团有限公司,浙江省,房屋建筑业,1574393
495,奥园集团有限公司,广东省,房地产业,1573490
496,奥盛集团有限公司,上海市,金属制品业,1573265
497,道恩集团有限公司,山东省,综合,1572606
498,山东科瑞控股集团有限公司,山东省,专用设备制造业,1571887
499,南通华新建工集团有限公司,江苏省,房屋建筑业,1568549
500,中厦建设集团有限公司,浙江省,房屋建筑业,1568415
